amount,vpa_sender,vpa_receiver,timestamp,device_id,is_fraud
1017.0854530852869,user4@axl,user1@axl,2025-05-03 14:51:00,device_66,0
5724.3955289274045,user35@paytm,user9@paytm,2025-05-01 13:00:00,device_87,0
178754.12162024894,9417231445@paytm,user7344@paytm,2025-05-11 03:44:00,device_9417231445,1
11208.318462214143,user53@ybl,user1@ybl,2025-05-01 16:28:00,device_59,0
1539.1085957011014,user26@okhdfcbank,user42@okhdfcbank,2025-05-02 14:36:00,device_16,0
10282.522616108514,user93@axl,user4@axl,2025-05-01 12:29:00,device_78,0
112396.8040652837,9451191606@axl,user2567@axl,2025-05-04 01:14:00,device_9451191606,1
13798.515652792013,user55@axl,user66@axl,2025-05-04 09:44:00,device_67,0
17787.44756456354,user5@axl,user99@axl,2025-05-04 17:22:00,device_50,0
198718.78323531194,9439639841@okhdfcbank,user5005@okhdfcbank,2025-05-07 00:07:00,device_9439639841,1
239984.96478281092,9464834128@sbi,user4671@sbi,2025-05-13 00:40:00,device_9464834128,1
14296.637050640376,user78@sbi,user9@sbi,2025-05-06 09:24:00,device_91,0
4269.635092288057,user92@paytm,user73@paytm,2025-05-12 14:28:00,device_10,0
9043.078848127132,user26@paytm,user99@paytm,2025-05-01 17:27:00,device_92,0
102903.48199336987,9452256694@paytm,user6978@paytm,2025-05-15 04:56:00,device_9452256694,1
17287.956650801756,user22@axl,user67@axl,2025-05-02 10:26:00,device_50,0
175005.83721704115,9414394643@sbi,user1882@sbi,2025-05-06 01:55:00,device_9414394643,1
9772.96516662339,user33@ybl,user66@ybl,2025-05-12 15:58:00,device_79,0
14848.237913338007,user74@okhdfcbank,user74@okhdfcbank,2025-05-01 12:26:00,device_61,0
9704.838317087724,user3@ybl,user6@ybl,2025-05-07 14:02:00,device_40,0
13214.880901091383,user2@axl,user75@axl,2025-05-04 17:13:00,device_14,0
141184.8848638834,9462701776@ybl,user5923@ybl,2025-05-12 00:14:00,device_9462701776,1
2635.5688241509133,user89@ybl,user89@ybl,2025-05-07 17:47:00,device_88,0
13493.176544120946,user80@paytm,user9@paytm,2025-05-09 15:59:00,device_6,0
1648.2222551097661,user32@okhdfcbank,user66@okhdfcbank,2025-05-15 17:40:00,device_45,0
19649.47115756219,user6@axl,user66@axl,2025-05-04 13:54:00,device_69,0
185863.3330627107,9417059559@ybl,user7182@ybl,2025-05-01 01:43:00,device_9417059559,1
19670.346625544218,user70@sbi,user70@sbi,2025-05-14 12:27:00,device_41,0
7370.557396001313,user43@sbi,user8@sbi,2025-05-03 09:28:00,device_98,0
13416.189720836723,user74@ybl,user44@ybl,2025-05-07 09:43:00,device_51,0
170118.86667212346,9451672086@ybl,user5437@ybl,2025-05-06 05:34:00,device_9451672086,1
235065.94737491966,9486210813@paytm,user1142@paytm,2025-05-02 05:10:00,device_9486210813,1
7094.089669410064,user60@okhdfcbank,user96@okhdfcbank,2025-05-09 09:40:00,device_59,0
15599.389798726466,user68@sbi,user49@sbi,2025-05-03 11:27:00,device_7,0
19295.877800098584,user52@paytm,user44@paytm,2025-05-02 15:39:00,device_95,0
207233.68428987425,9445334528@axl,user9335@axl,2025-05-10 01:23:00,device_9445334528,1
276.2883120479555,user71@paytm,user63@paytm,2025-05-04 13:40:00,device_69,0
74843.99334561187,9456462256@okhdfcbank,user7917@okhdfcbank,2025-05-09 02:05:00,device_9456462256,1
58079.936055393366,9491651806@paytm,user6229@paytm,2025-05-03 05:31:00,device_9491651806,1
8700.91939705567,user23@ybl,user8@ybl,2025-05-06 16:34:00,device_54,0
4565.159100180532,user35@ybl,user79@ybl,2025-05-03 15:47:00,device_39,0
129514.40421750446,9422984808@axl,user2802@axl,2025-05-01 01:39:00,device_9422984808,1
1288.2494944192015,user55@sbi,user27@sbi,2025-05-12 13:27:00,device_97,0
73672.4455702596,9438077868@sbi,user4131@sbi,2025-05-07 01:40:00,device_9438077868,1
128.5627336489234,user97@sbi,user42@sbi,2025-05-06 11:06:00,device_38,0
178406.32923085755,9464006163@axl,user6539@axl,2025-05-08 02:48:00,device_9464006163,1
19550.667444676703,user29@ybl,user90@ybl,2025-05-11 09:48:00,device_91,0
248152.43110787592,9478770121@okhdfcbank,user1495@okhdfcbank,2025-05-05 02:28:00,device_9478770121,1
242180.8308257919,9415129584@paytm,user6487@paytm,2025-05-11 05:12:00,device_9415129584,1
87120.81279108663,9420764556@okhdfcbank,user4865@okhdfcbank,2025-05-10 03:25:00,device_9420764556,1
217044.8408678572,9451375740@sbi,user8520@sbi,2025-05-07 00:20:00,device_9451375740,1
3655.2638548842606,user80@axl,user25@axl,2025-05-03 11:55:00,device_80,0
18262.95545434707,user54@ybl,user70@ybl,2025-05-15 11:23:00,device_11,0
2436.579288834607,user52@okhdfcbank,user37@okhdfcbank,2025-05-06 12:06:00,device_98,0
173594.60936946148,9492963000@sbi,user4522@sbi,2025-05-14 02:18:00,device_9492963000,1
9451.729063501016,user23@ybl,user17@ybl,2025-05-14 16:29:00,device_93,0
116889.23737566495,9412345286@okhdfcbank,user3134@okhdfcbank,2025-05-01 01:34:00,device_9412345286,1
18098.10951264377,user5@axl,user43@axl,2025-05-05 15:48:00,device_47,0
214308.0764393232,9496221640@sbi,user7369@sbi,2025-05-04 00:24:00,device_9496221640,1
213564.66498409124,9418742392@paytm,user2766@paytm,2025-05-05 01:25:00,device_9418742392,1
226481.8372887577,9452994381@okhdfcbank,user1769@okhdfcbank,2025-05-02 03:44:00,device_9452994381,1
16428.669728703957,user19@axl,user48@axl,2025-05-02 17:34:00,device_80,0
7888.841871831465,user82@paytm,user10@paytm,2025-05-06 17:43:00,device_58,0
121632.5436065681,9476360176@ybl,user1770@ybl,2025-05-02 01:57:00,device_9476360176,1
